Feature,Case Id,Test Case,Pass,Fail,N/A,Measured,Comment,Measured Name,Value,Unit,Target,Failure,Execution Type,Suite Name
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-1 CONV_2D example/1 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-2 MAX_POOL_2D example/1 of squeezenet1.1 model,1,,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-3 CONV_2D example/2 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-4 CONV_2D example/3 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-5 CONV_2D example/4 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-6 CONCATENATION example/1 of squeezenet1.1 model,1,,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-7 CONV_2D example/5 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-8 CONV_2D example/6 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-9 CONV_2D example/7 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-10 CONCATENATION example/2 of squeezenet1.1 model,1,,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-11 MAX_POOL_2D example/2 of squeezenet1.1 model,1,,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-12 CONV_2D example/8 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-13 CONV_2D example/9 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-14 CONV_2D example/10 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-15 CONCATENATION example/3 of squeezenet1.1 model,1,,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-16 CONV_2D example/11 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-17 CONV_2D example/12 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-18 CONV_2D example/13 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-19 CONCATENATION example/4 of squeezenet1.1 model,1,,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-20 MAX_POOL_2D example/3 of squeezenet1.1 model,1,,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-21 CONV_2D example/14 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-22 CONV_2D example/15 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-23 CONV_2D example/16 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-24 CONCATENATION example/5 of squeezenet1.1 model,1,,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-25 CONV_2D example/17 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-26 CONV_2D example/18 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-27 CONV_2D example/19 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-28 CONCATENATION example/6 of squeezenet1.1 model,1,,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-29 CONV_2D example/20 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-30 CONV_2D example/21 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-31 CONV_2D example/22 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-32 CONCATENATION example/7 of squeezenet1.1 model,1,,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-33 CONV_2D example/23 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-34 CONV_2D example/24 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-35 CONV_2D example/25 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-36 CONCATENATION example/8 of squeezenet1.1 model,1,,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-37 CONV_2D example/26 of squeezenet1.1 model,,1,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-38 AVERAGE_POOL_2D example/1 of squeezenet1.1 model,1,,,,,,,,,,auto,tests
CTS Real Model Test,CTS Real Model Test/1,Check result for layer-39 RESHAPE example/1 of squeezenet1.1 model,1,,,,,,,,,,auto,tests